title,SkyId,EntityId
San Diego International (SAN),SAN,95673473
San Francisco International (SFO),SFO,95673577
Miami International (MIA),MIA,95673821
Phoenix Sky Harbor (PHX),PHX,95673480
Nashville (BNA),BNA,95673724
Oklahoma City Will Rogers World (OKC),OKC,95673722
Pittsburgh International (PIT),PIT,95673879
Norfolk International (ORF),ORF,95673798
St Louis (STL),STL,95673876
New Orleans Louis Armstrong (MSY),MSY,95673750
San Jose International (SJC),SJC,95673571
Honolulu International (HNL),HNL,95673827
Cleveland Hopkins International (CLE),CLE,95673782
Washington Dulles (IAD),IAD,95673665
Baltimore Washington International (BWI),BWI,95673663
Washington Ronald Reagan (DCA),DCA,95673664
Seattle / Tacoma International (SEA),SEA,95673694
Milwaukee General Mitchell (MKE),MKE,95673687
Minneapolis St Paul (MSP),MSP,95673838
Fort Myers Southwest Florida Reg (RSW),RSW,95674212
Orlando International (MCO),MCO,95674009
Richmond (RIC),RIC,95674047
San Antonio International (SAT),SAT,95673494
Santa Ana John Wayne (SNA),SNA,95673372
Jacksonville International (JAX),JAX,95673600
Salt Lake City (SLC),SLC,95674062
West Palm Beach International (PBI),PBI,95673825
Las Vegas Harry Reid International (LAS),LAS,95673753
Dallas Love Field (DAL),DAL,128667302
Detroit Wayne County (DTW),DTW,95673555
Austin-Bergstrom (AUS),AUS,95673643
Charleston (CHS),CHS,95674227
Indianapolis (IND),IND,95673608
Oakland Metropolitan Oak (OAK),OAK,95673578
Fort Lauderdale International (FLL),FLL,104120241
Portland (PDX),PDX,95673720
Tampa International (TPA),TPA,95673870
Sacramento International (SMF),SMF,95673765
Philadelphia International (PHL),PHL,95673446
Raleigh / Durham (RDU),RDU,95673938
Atlanta Hartsfield-Jackson (ATL),ATL,95673800
Buffalo Niagara (BUF),BUF,95673358
Cincinnati Northern Kentucky (CVG),CVG,95673906
Port Columbus (CMH),CMH,95673618
Los Angeles International (LAX),LAX,95673368
Memphis International (MEM),MEM,95673651
New York John F. Kennedy (JFK),JFK,95565058
New York LaGuardia (LGA),LGA,95565057
Omaha Eppley Airfield (OMA),OMA,128667088
Boston Logan International (BOS),BOS,95673679
